y_name,x_name,cz,r,p,color
wi_trend,Tair trend,Global,-0.10624,0.08083,gray
wi_trend,Pre trend,Global,-0.05714,0.21477,gray
wi_trend,UHI trend,Global,-0.07327,0.11151,gray
wi_trend,UG trend,Global,-0.01729,0.70755,gray
wi_trend,UI trend,Global,0.55289,0,red
wi_trend,Pop trend,Global,-0.21821,0.01603,orange
wi_trend,Tair trend,Tropical,-0.14364,0.26537,gray
wi_trend,Pre trend,Tropical,-0.07073,0.58489,gray
wi_trend,UHI trend,Tropical,-0.13966,0.27898,gray
wi_trend,UG trend,Tropical,0.19958,0.1199,gray
wi_trend,UI trend,Tropical,0.57705,0,red
wi_trend,Pop trend,Tropical,-0.34018,0.00024,red
wi_trend,Tair trend,Temperate,-0.15446,0.02519,orange
wi_trend,Pre trend,Temperate,0.00028,0.99683,gray
wi_trend,UHI trend,Temperate,-0.16654,0.0157,orange
wi_trend,UG trend,Temperate,-0.0319,0.64579,gray
wi_trend,UI trend,Temperate,0.58417,0,red
wi_trend,Pop trend,Temperate,-0.13633,0.02841,orange
wi_trend,Tair trend,Cold,0.11741,0.02667,orange
wi_trend,Pre trend,Cold,0.08239,0.81223,gray
wi_trend,UHI trend,Cold,-0.07187,0.94883,gray
wi_trend,UG trend,Cold,-0.12525,0.78248,gray
wi_trend,UI trend,Cold,0.59824,0,red
wi_trend,Pop trend,Cold,-0.06966,0.44584,gray
wi_trend,Tair trend,Arid,-0.23286,0.04588,orange
wi_trend,Pre trend,Arid,-0.14286,0.22464,gray
wi_trend,UHI trend,Arid,-0.03125,0.79156,gray
wi_trend,UG trend,Arid,0.12034,0.3071,gray
wi_trend,UI trend,Arid,0.35074,0.00219,red
wi_trend,Pop trend,Arid,-0.01494,0.89947,gray
